stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778504675.763035536,701.411619663,-0.010484410,0.008723633,0.004505063,0.016949469,-0.013291204,-0.007102221,0.999742776,0.033719937,-0.026819543,-0.013755610,-0.028520461,-0.013876704,0.007275704
1778504675.849481821,701.498065948,-0.011350379,0.007534346,0.004145966,0.016526255,-0.011784605,-0.008077967,0.999761348,0.032869481,-0.023832838,-0.015767699,-0.022952894,-0.014830974,0.005047889
1778504675.954790831,701.603374958,-0.012063181,0.005275142,0.005535379,0.016184350,-0.010102017,-0.006230611,0.999798577,0.032248597,-0.020403056,-0.012134547,-0.015479418,-0.019367359,0.007608729
1778504676.053376913,701.701961040,-0.010883293,0.007249954,0.004383989,0.013738084,-0.008071931,-0.005377969,0.999858583,0.027392520,-0.016290065,-0.010534224,-0.000119040,-0.001296456,0.003671855
1778504676.166764736,701.815348864,-0.007993961,0.006822733,0.002179928,0.014392134,-0.005637213,-0.007949138,0.999848938,0.028696133,-0.011501786,-0.015735302,0.020372063,-0.001037353,-0.002436529
1778504676.257085800,701.905669928,-0.003907166,0.007717531,0.003435872,0.014413858,-0.003063038,-0.005586825,0.999875815,0.028794458,-0.006286412,-0.011084407,0.040980859,0.003242241,0.001950342
1778504676.370853424,702.019437551,0.000395020,0.008561649,0.004777342,0.014080797,-0.004147424,-0.004230870,0.999883308,0.028127917,-0.008413128,-0.008344346,0.050146065,0.007147920,0.004744048
1778504676.456818819,702.105402946,-0.000032632,0.008500971,0.004148752,0.014883875,-0.009108802,-0.002067878,0.999845600,0.029734830,-0.018277364,-0.003864624,0.031335641,0.004252745,0.002028710
1778504676.569221258,702.217805386,0.002155352,0.009089528,0.002874968,0.015259833,-0.009401722,-0.002961593,0.999834973,0.030469092,-0.018891852,-0.005636308,0.028256036,0.004515854,-0.002124850
1778504676.661621094,702.310205221,0.001879607,0.007350850,0.001701200,0.015877646,-0.011402344,-0.003197760,0.999803811,0.031689752,-0.022903762,-0.006033800,0.014804412,-0.005028948,-0.005241913
1778504676.769230604,702.417814732,0.000392168,0.007899141,0.001025565,0.014602020,-0.012333085,-0.002007515,0.999815306,0.029162173,-0.024722760,-0.003655237,-0.000702888,0.001043550,-0.005820902
1778504676.871594191,702.520178318,-0.003306065,0.008865450,0.000870007,0.013884241,-0.013399447,-0.000584305,0.999813653,0.027761192,-0.026813338,-0.000796597,-0.019631880,0.007053436,-0.005167069
