stamp_abs,stamp_rel,valid,deg,eig_min,cond,axial,lateral,local_length,width,height,global_length,conf,u_pos_count,u_neg_count,v_pos_count,v_neg_count,four_wall_fit_ok,geom_raw_count,geom_filtered_count,intensity_trim_used
1776866027.760338068,12.600234985,0,0,0.181054243,213.273260067,30.999999870,30.999999870,0.496989340,0.330767425,0.405762256,0.625028659,0.463191214,22,5,3,12,0,93,83,1
1776866027.861157894,12.701054811,0,0,0.137555493,228.728545188,24.666666688,24.666666688,0.274787296,0.396482535,0.461645267,0.625028659,0.541149792,5,6,6,8,0,74,66,1
1776866027.960371733,12.800268650,1,0,0.250838210,152.476925834,22.403998567,35.798000502,0.546788178,0.309751575,0.294220033,0.625028659,0.549265560,16,3,0,16,0,94,85,1
1776866028.060700417,12.900597334,1,0,0.158663545,225.213229183,20.945737276,31.027131507,0.647981346,0.297679955,0.235744778,0.625028659,0.524572960,22,5,0,13,0,83,74,1
1776866028.160290718,13.000187635,0,0,0.219120608,217.408271218,35.666666886,35.666666886,0.307385070,0.486412108,0.515321940,0.625028659,0.566824147,8,1,7,14,0,107,96,1
1776866028.262623072,13.102519989,1,0,0.154557937,246.645052774,21.624573295,31.187713190,0.883080502,0.234248211,0.201114145,0.625028659,0.557319554,15,6,0,19,0,84,77,1
1776866028.360289574,13.200186491,0,0,0.197971353,217.929390962,33.000000030,33.000000030,0.736383000,0.372979444,0.244188065,0.625028659,0.431336519,23,3,2,19,0,99,89,1
1776866028.459256411,13.299153328,0,0,0.172511045,261.212744985,33.666666811,33.666666811,0.397267181,0.739803544,0.311455898,0.625028659,0.533760984,16,7,0,24,0,101,91,1
1776866028.560325861,13.400222778,1,0,0.171561664,236.358730028,18.813884315,32.593057890,0.272320801,0.299749791,0.297606276,0.625028659,0.516836498,9,12,1,5,0,84,76,1
1776866028.660250664,13.500147581,0,0,0.173400210,239.181006169,29.666666654,29.666666654,0.833521359,0.277755589,0.186906905,0.625028659,0.582340363,10,13,0,17,0,89,80,1
1776866028.760448933,13.600345850,0,0,0.158319165,206.372671284,23.999999937,23.999999937,0.854517913,0.271711937,0.217551470,0.625028659,0.493464898,2,21,0,15,0,72,64,1
1776866028.860321283,13.700218201,1,0,0.199306926,221.805584910,22.206742968,37.896628275,0.683169745,0.346167936,0.268042690,0.625028659,0.562046226,8,17,0,18,0,98,90,1
1776866028.960313559,13.800210476,0,0,0.165532453,168.068199661,22.999999880,22.999999880,0.855042036,0.303787649,0.206689518,0.625028659,0.467573255,7,14,0,19,0,69,62,1
1776866029.060741186,13.900638103,1,0,0.187763363,189.014798019,24.627071560,32.186464437,0.816863831,0.234810873,0.265819965,0.625028659,0.514415602,1,19,0,23,0,89,80,1
1776866029.160401821,14.000298738,0,0,0.154082645,259.915118394,32.333333221,32.333333221,0.597920214,0.315268816,0.269162769,0.625028659,0.489846057,6,23,1,14,0,97,89,1
1776866029.261505127,14.101402044,1,0,0.355362367,173.305019809,29.891428397,57.054285528,0.533733818,0.273006516,0.375774700,0.625028659,0.569402073,20,6,0,21,0,144,129,1
1776866029.361191511,14.201088428,1,0,0.266025006,180.492265671,22.970696504,40.514651746,0.704005900,0.272710936,0.228449442,0.625028659,0.590502484,9,19,1,16,0,104,94,1
1776866029.460353136,14.300250053,0,0,0.231126113,175.084694232,32.666666598,32.666666598,0.591113059,0.300353740,0.268092537,0.625028659,0.479242566,12,15,10,2,0,98,90,1
1776866029.560300589,14.400197506,0,0,0.172280338,265.738944011,30.000000082,30.000000082,0.863915670,0.289482330,0.176975835,0.625028659,0.581855146,8,15,0,18,0,90,81,1
1776866029.660335541,14.500232458,0,0,0.141958843,237.957604838,28.333333427,28.333333427,0.396240309,0.274172138,0.362890521,0.625028659,0.480290980,4,11,1,10,0,85,76,1
1776866029.760323048,14.600219965,0,0,0.220359898,169.250744163,28.999999709,28.999999709,0.405212975,0.247616615,0.377052271,0.625028659,0.462013803,4,10,5,9,0,87,78,1
1776866029.860301018,14.700197935,0,0,0.372265598,175.342753794,50.333333348,50.333333348,0.526133310,0.402461159,0.391786109,0.625028659,0.546216164,9,28,4,23,0,151,136,1
1776866029.958541155,14.798438072,0,0,0.382583124,169.888426188,50.999999886,50.999999886,0.371774993,0.425754594,0.432661271,0.625028659,0.544047165,4,21,9,20,0,153,138,1
1776866030.060389519,14.900286436,0,0,0.314759365,203.536894943,49.333333239,49.333333239,0.252003424,0.432355478,0.687921199,0.625028659,0.523338254,10,23,3,16,0,148,133,1
1776866030.160329580,15.000226498,0,0,0.440946134,149.229330049,52.666666617,52.666666617,0.313609434,0.327457924,0.588878967,0.625028659,0.523630051,7,20,4,20,0,158,142,1
1776866030.260398865,15.100295782,0,0,0.329015057,187.335631087,49.666666604,49.666666604,0.375863942,0.403327589,0.586743975,0.625028659,0.541936705,16,22,1,22,0,149,134,1
1776866030.360424280,15.200321198,0,0,0.324872864,188.697589911,46.333333186,46.333333186,0.332461278,0.507207663,0.412623913,0.625028659,0.572034069,11,4,8,12,0,139,125,1
